source,nickname,date,title,text,prediction,FALSE,TRUE,href,GT
dc,ㅇㅇ,2023.01.11 00:36:37,ㅃ 어제 마리앙이랑 웃남 영화 관람일이었는데 까먹고 안갔어 휴..,"

나 어제 간만에 쉬는날이라 두 탕 하려고 마리앙 웃남 예매해 놨었거든?
근데 아침에 친구들이 연락와서 간만에 쉬는데 놀자네? 
실컷 놀고 집에 와서 아 개피곤해 이러는데 번뜩!! ㅠㅜ
부랴부랴 cgv앱 들어가보니 마리앙은 지나갔고 웃남은 시작 10분전이었어.
15분전까지만 취소가능하다며...ㅠㅜ
평소에 공연날 깜빡해서 못가면 어쩌지? 이런 무서운 생각 많이 했는데
공연이 아니라 영화라 다행이라고나 할까.. ㅠㅜ
물론 예매취소일 깜빡해서 수수료 많이 낸 적은 많아;;

",0,0.99765503,0.002344966,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54674&s_type=search_subject_memo&s_keyword=웃남&page=1,1
dc,ㅇㅇ,2023.01.10 22:04:09,ㅃㅃ웃남cgv 머글 많더라,"

난 뮤덕들만 이런 영화 찾아올줄 알았는데 커플도 많고 가족단위도 많더라
그리고 좌석 편안한데 사람들 중간에 들락날락하는거 적응안됨
또 넘버 끝날때마다 정적 못견디겠음ㅋㅋㅋㅋ
특히 내안괴 그눈을떠 웃남 끝나면 박수 치고싶은데ㅋㅋㅋㅋ

",0,0.83684707,0.16315287,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54631&s_type=search_subject_memo&s_keyword=웃남&page=1,1
dc,ㅇㅇ,2023.01.10 16:14:45,베토벤 넘버 더 없나,"

웃남때는 넘버 처음듣고 이거다 하는게 몇개 있었는데 이번꺼는 뭔가 듣자마자 관극하다 졸것같은 느낌

",0,0.9992079,0.000792083,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54521&s_type=search_subject_memo&s_keyword=웃남&page=1,0
dc,ㅇㅇ,2023.01.09 23:07:07,"CGV 웃남 후기(스포,불호 있음)","

웃남 삼연만 본사고 초연 가든파티가 궁금해서 봤는데...초연의 문제라기보다는 편집의 문제 같다...  
180분짜리 극이 아무리 인터미션이 없어도 160분만에 되나 했는데 ,전체적으로 빠른 느낌이고 대사도 많이 잘린 느낌  
배우들이 길게 끌면서 부르는 부분들도 많이 짧아진 느낌..  
삼연이랑 비교해서 달라진 부분, 삼연에서 못 봤던 배우들 느낌 위주로 쓸게  
+삼연이랑 비교하다보니 배우 비교도 조금 들어갔는데 표현 문제되는 부분 지적해주면 고치겠음  
- 극 시작 초반부의 우르수스의 나레이션  
콤프라치코스, 콤프라치코스!!! 콤프라치코스가 17세기 영국에서 도망친다!!  이 부분 정확한 대사는 모르겠는데 일단 콤프라치코스, 콤프라치코스, 콤프라치코스! 라고 부르는 부분 없었고, 콤프라치코스가 상처입힌 사람들 얼굴 없었음  
- 콤프라치코스 도주 장면  
어린 그윈플렌이 떠나가는 배 향해서 ""안돼!!!!!""하자마자 장면 끊기고 넘어가서, 콤프라치코스들 고해성사? 반성 넘버 없음. 이것만 보면 하커가 누군지 감도 안 잡힐듯. 컨퀘스트 박사가 어린 그윈한테 ""하커의 술병을 어서 던져""라고 한 대사에서만 하커 이름이 나와서 놓치기 쉬운거 같다...  
- 어린 그윈과 데아의 첫 만남  
세종보다는 무대가 작아서 그런지, 세종에서는 잘 안 보였던 목매달아 죽은 시체 그림자도 크게 잘 보였음. 삼연에서는 어린 그윈들이 ""응! 데아! 널 데아라고 부를게!""라는 느낌이었다면, 감독판 초연에서는 ""음..데아! 널 데아라고 부를게!""여서 좀 더 자연스러웠던거 같음  
근데 삼연에서도 눈보라 앙들이 합창 부를 때 남자 앙들 목소리도 들렸나??? 영화관에서 들으니 남자앙들 목소리가 잘 들려서 낯선 기분  
- 세상은 잔인한 곳  
어린 그윈 말투가 삼연에서는 ""-데요""라서 좀 더 반항적인? 느낌이라면 초연은 ""-에요""라서 살짝 착한 느낌  
""웃는 거 아니에요"" - ""웃는 거 아닌데요""  
""아뇨, 그윈플렌이에요"" - ""아뇨, 그윈플렌인데요?""  
""동생 아니에요"" - ""동생 아닌데요""  
우르수스가 넘버 부를 때 어린 그윈이 하하 웃는 게 두번인가 있었던거 같음  
- 가든 파티  
드디어 초연 또또또 가든 파티 들어봤다.. 난 삼연이 익숙해서 그런가 삼연 가든 파티 넘버가 더 좋은 것 같아. 근데 초연 가든 파티 가사가 앤 여왕과 조시아나 사이 나쁜 걸 더 잘 보여줘서 좋은 듯.  
'또 한판 붙겠네 여왕과 조시아나  
언니인 여왕 예쁜 그녈 증오하지'나 '배다른 동생 더러운 탄생 여왕의 콧댈 높여줬어'이런 가사?  
근데 앤 여왕 등장하기 전에 또 편집 됨. 앤 여왕은 2막 여왕의 명령에서 처음 나옴...  
- 어둠의 세계로  
급 데이빗과 조시아나가 함께 있고 어둠의 세계로 부르고 있음  
?????????????? 대체 왜 이렇게 편집한거지????  
앤 여왕이 누군지, 데이빗과 조시아나가 언제 약혼한지도 모르겠는데??? 그리고 페드로가 조시아나한테 병마개 제거사 시켜달라고 한 부분도 없이 급 어둠의 세계로 부르면서 퇴장하고 페드로가 수상한 냄새가 난다며 따라가면서 끝  
- 일단 와  
초반에 극단 단원들 소개하는 멘트는 이름은 모르겠는데 키 작고 모자쓴 앙이 거의 다 함. 삼연에서는 남반여반앙이 마지막에 여자 차례인데 남자인거 들키면서 끝났는데, 여기서는 쪽 키스 날리려고 해서 소개하는 앙이 그만하라고 함.  
나타샤와 곰 이반 나올 때 채찍 소리 없어서 찰진 느낌 덜 했음  
와펜테이커가 하커 잡아갈 때도, 초반에 콤프라치코스 부분 다 잘라먹어서 갑자기 하커를 왜? 이런 느낌이 좀 들었어  
- 대혼란을 무찌르다  
우르수스가 복화술 할 때 삼연에서는 ""어머~너무 예쁘다아/아\아""면 초연에선 ""어머~너무 예쁘다""  
""저기요!불이 났어요오오/오\오""도 ""마차가 쓰러졌어요""였나 아무튼 짧아서 덜 재밌고 아쉬웠음... 어린 그윈플렌 만날 때의 이야기 할 때도 눈밭에서 헤매던 깡윈이 이리 저리 왔다갔다 쭈구린채로 돌아다니는건 없었고""바다와 같은 마음으로 받아들인 것이었다"" 없고 ""그냥 받아줬지 뭐""이런 식이었던 듯  
- 나무 위의 천사  
와.. 경아데아 눈 먼 연기 진짜 잘한다. 삼연 세종에서는 오글로 보고, 영화관에서는 좀 더 가까이 포커스 잡아서 보여줘서 그런지 몰라도 경아데아는 진짜 눈 안 보이는거 같아. 그래서 엔딩 때 죽기 직전 빛 보이는 연기 차이가 확 느껴져서 좋았어.  
아쉬운 점은 뮤비보다는 경아데아 노래가 꾀꼬리 느낌이 덜 해서 아쉬웠는데, 나위천 이후에 나오는 넘버들은 꾀꼬리여서 좋았어.  
- 결투/웃는 남자  
음... 뭐라고 해야하지. 그윈플렌과 톰짐잭이 싸울 때 초반에 나온 노래가 뽕짝 느낌이 덜해서? 좀 밋밋한 느낌.. 조시아나가 앉은 자리가 세종때보다 많이 밑에, 거의 바닥이랑 비슷한 높이여서 그윈이 톰짐잭이랑 싸우면서 조시아나 근처에 갔을 때, 신시아나가 그윈 얼굴 만지려 했던거 같아.  
피비인가 비너스가 와펜테이커인 척 할 때 허술해서 와펜테이커 느낌이 안 났어....  
깡윈이 ""부자들의 낙원은 가난한 자들의 지옥으로 세워진 것이니까요""할 때 신시아나 표정 크게 보여준거 좋았는데, 그 말 듣고 불쾌해했음. 세종에서는 이 때 조시아나 표정 잘 못 본거 같았는데 좋아. 근데 발 쾅쾅하면서 분위기 고조시키는건 덜 해서 아쉬웠어.  
신시아나가 그윈한테 반하자, 조휘 데이빗은 화가 난 표정? 어이없어하는 표정이라 신선했어  
- 궁전  
여기도 대사가 잘린건가? 궁전이 너무 갑자기 시작하는 느낌이었고, 좀 빠르고 빨리 끝난 느낌. 무슨 차이인지는 모르겠는데 삼연 데아들은 그윈보다 성숙하고, 순수하게 밝게 웃는 느낌이라면 경아데아는 딱 그 나이대 소녀? 어리고,해맑고,천진무구하고 좀더 꺄르르르 웃는 느낌이라 신선했어.  
근데 가든파티에서 앤 여왕 나오는 부분을 통편집해서, 비너스가 ""나랑 닮았어""드립 치는게 생뚱맞게 느껴짐  
- 나와 닮은 사람, 내 안의 괴물  
삼연이랑 비교했을 때 신시아나가 덜 촐싹거리고 장난기도 덜 해서, 그윈플렌보다 나이가 많은 전형적인 오만한 귀부인 같았어. 개인적으로는 삼연 조시아나들이 그윈한테 장난치면서 꺄르르하는 느낌이 더 좋아.. 삼연에서 후원? 난 그 이상을 바라는건데~?하던 조시아나들 그립다..  
나닮사,내안괴도 곡이 짧고 빠른 느낌이 좀 들었어  
- 캔잇비  
세종보다 무대가 작다보니.. 그윈이 갇혀있는 느낌이 나서 아쉬웠어. 아니 그윈이 꿈을 못 펼치고 갇혀있는건 맞는데 흠... 그냥 너무 꽉 찬 느낌이라 웃남 무대 특유의 미장센이 덜 느껴져서 아쉬워.  
- 어딨어?/데이빗경의 유혹  
데아가 부르는 넘버에 캔잇비 맆 같은 부분이 있었고 더 길었어. 그윈이 없어서 불안해하고 외로워하는 데아 느낌이 잘 나서, 이 부분은 삼연에서 왜 줄인건지 아쉽네.  
데이빗이 데아 ㄱㄱ하려할 때는 경아데아 진짜 울부짖듯이 겁먹어서 소리치고 버둥거리고 연기 너무 잘했어.  
근데 그 후에 깡윈이 나타나서 ""무슨 일이에요?""라던가 상황파악하는? 그런 대사가 없었던건지 너무 갑자기 행권으로 넘어간 느낌 났어  
- 행복할 권리  
초연 '결혼이나 해' - 재연 '사랑을 지켜' - 삼연 '네 자릴 지켜'로 바뀐 부분인거 같은데 갑자기 결혼이나 해라고 해서 음?  
오케 좀더 빵빵하게 들렸어도 좋았을 듯. 양파파가 깡윈 걱정하는게 좀 더 느껴진 것 같아서 좋았음  
- 눈물은 강물에  
배우 비교 될거같아서 조심스러운데.. 삼연 피비,비너스에 비해 뽕짝 느낌이 덜해서 눈물은 강물에 넘버가 그.. 뽕 느낌?이 덜 했어ㅠ삼연 피비,비너스가 진짜 잘한거였구나.. 그리고 무대가 좁아서 여앙들이 너무 다닥다닥 붙어서 춤 추는 느낌이었고, 데아가 그릇 깡깡 치는 부분 좋아하는데 그것도 없어서 아쉬웠어  
- 내 삶의 전부  
그윈이 데아한테 가면서 ""데아, 데아! 미안해"" 이런 대사 없이 데아 한번 부르고 여앙들 퇴장하고 갑자기 내삶전 시작해서 ...? 초연 경아데아가 성녀 느낌보단 그윈 나이 또래, 혹은 그윈보다 어린 소녀 느낌이 나서 내삶전에서는 첫사랑 고백하고 받아들여져서 행복해하는 풋풋한 소녀 느낌이 났어.  
내삶전 끝나고 데아가 ""오늘 밤 나랑 같이 있어줘""하니까 깡윈은 ""..어?""하는 듯한 표정이라 깡윈은 그런 의미로 말한게 아닌데 하는 느낌 들었어.  
- 눈물의 성, 말도 안돼  
와펜테이커 등장 좀 뜬금없는 느낌이었고, 초반에 콤프라치코스 부분 다 잘려서 하커가 너무 뜬금없이 나온 느낌.. 그리고 하커 대사톤이나 연기가 좀 어색해서, 마약해서 부들부들 떠는 느낌..  
갑자기 페드로가 병마개 제거사로 나오는데 이것도 앞에서 잘려서 어색하고.. 아,대신 페드로가 그윈의 정체 밝히는 부분은 페드로 노래 파트 좀 더 있었던거 같다  
- 자장가 리프라이즈  
없음.  2막 시작하면 그윈이 침대의 천사 그림 보면서 자장가 맆 부르는거 좋아하는데 없어서 아쉬움  
- 각하의 소유  
바로 페드로가 나타나서 줄 당기는거 알려주고, 시종들 나타남  
- 눈물의 성 리프라이즈  
우르수스가 시체 옮기는 수레 발견하고 다가가니까 와펜테이커가 ""비키세요!"" 대사 치면서 우르수스 창?으로 밀어내는거 맘찢..  
페드로가 여기서 우르수스한테 그윈이 입던 옷, 금화 주는게 아니라  
- 막은 안 올라  
갑자기 막은 안 올라로 넘어감 ...? 막은 안 올라 부르기 전에 페드로가 그윈 옷, 금화 주는데 이 타이밍이 너무 눈새같고요..페드로가 나타나는 타이밍도 삼연이 나은 듯  
아 삼연에서는 우르수스가 그윈플렌 목소리 흉내내는 부분이 초연에서는 그윈플렌 목소리로 넘버 반 대사 반으로 달랐던 듯 
- 내 삶의 전부 맆, 무너져 내릴 마음  
첫사랑에게 버림 받아서 충격받은 데아를 잘 표현해줬고, 숨 헐떡이는 것도 어떻게 보면 과장같고, 어떻게 보면 바로 죽을 것 같았어. 양파파 무너져 내릴 마음은 삼연보단 하늘을 덜 원망하고, 살짝 덤덤한 느낌도 들었는데 차라리 삼연처럼 뭐라도 원망해요ㅠㅠㅠㅠㅠ참지 말아요ㅠㅠ  
-모두의 세상  
갑자기 모두의 세상..? 파파랑 데아 가슴 저렇게 다 찢어놓고?? 갑자기 과거 회상 나오고 모세 나오니까 너무 어색했어 근데 ""똥강아진 이 세상을 바꿀 순 없어"" 부를 때 어린 그윈이 우르수스 흉내내면서 불러서 이건 좋더라ㅋㅋ  
아무튼 앞뒤 없이 갑자기 부잣집에서 헤헤헤하던 그윈이 급 각성하는 느낌이라 너무 어색해.. 감독판만 보면 그윈 너무 생각없어 보이는 캐 같잖아ㅜ 얘 아까까지 헤헤헤 부자 좋아하던 애라구요ㅜ 친부모 궁금해하지도 않고ㅜ  
- 몽타쥬  
없음. 영화판 그윈은 친부모에게 관심 없어보임..  
- 아무 말도/여왕의 명으로  
갑자기 아무 말도??????? 여기서도 조시아나가 그윈이랑 쎄쎄쎄하는건 없고 덮치기 바빠 보였...다.. 조시아나가 뭐라 떠들든 니 맘대로 하세요 하면서 포기+짜증내다 옷 벗겨져서 당황한 깡윈ㅋㅋㅋ  
여왕의 명으로 넘버가 좀 더 길고 웅장했던거같은데 영화판에서는 앤 여왕이 처음 나온거라 너무 어색함.... 그리고 그윈플렌 얼굴 보고도 별로 안 놀라서 아쉽고  
- 검투  
갑자기 조시아나랑 있던 침실에서 그윈과 데이빗이 싸움  
근데 침대 올라갔다 내려갔다하면서 싸우는건 괜찮긴 하던데, 데이빗이 ""내가 클랜찰리 공작이야!""하는 대사 대신 ""난 데이빗 더리모어야!!""라고 해서 클랜찰리 공작 자리에 대한 욕심이 덜 보인거 같음  
- 행복할 권리 맆  
데이빗이 어린 그윈 훔치는거 말할 때, 잠옷 차림의 신시아나가 엿듣고 놀라는 건 좋았어. 뒤에서 조시아나가 어떻게 이 사실을 알고 데이빗에게 얘기하는지 설명되는 부분인거 같아서.  
- 우린 상위 1%  
아..이 부분 대사는 진짜 바꾸길 잘한 듯. 조시아나 등장하니까 '남자를 많이 기쁘게 할 여자죠?' '저런 여자면 내가 해볼텐데' 뭐 이런 식의 대사가 몇개 나와서 기분이 좀 그랬어  
앤 여왕이 여기서도 아쉽긴 하더라..앤 여왕이 우스꽝스럽고 무식해보여도 여왕의 위엄도 있어야하는데 가벼워보여서ㅠ 그리고 분장도 덜 나이들어보이는 느낌이어서 더 그런거 같음  
상원의원장이 늘봄배우같아보여서 지킬 스트라이드 생각나서 ""스트라이드씨 바로 본론으로 들어가시지"" 생각났는데 엔딩 크레딧에 늘봄 배우 없더라.... ㅠㅠ 피비 배우가 상원 의원에도 나오는 것도 처음 알았어  
그윈이 반대할 때 삼연에서는 엄지를 바닥으로 내리는 제스쳐였는데, 영화판에서는 그냥 손 들었음  
- 그 눈을 떠  
넘버 감상은 아닌데..그..그윈 푸들 가발이..초연 버전은 너무 부실해서..  
  이런 싸구려 양털 뽀글이 재질로 만든 보풀 엄청 잘 생기는 군밤장수 모자같았다...그럼에도 불구하고 깡윈이 부르는 그눈떠는 너무 좋았다.. 
  - 웃는 남자 
  개인적으로는 그윈이 좀 더 깽판쳐줬으면!! 삼연보다 얌전한 느낌 들었다 
  - 내 삶을 살아가 
  없음. 조시아나 라식 실패 
  신시아나가 데이빗한테 지금 떠나면 여왕한테는 말 안하겠다고 할 때, 삼연에서는 데이빗이 자기나 조시아나나 똑같다고 비웃고 갔는데 그것도 없고, 내 삶을 살아가도 없으니 너무 밋밋해.. 
  거기다 신시아나가 페드로한테도 병마개 제거사로 했던 일을 비난하는데 이 부분도 신시아나가 페드로한테 병마개 제거사 허락한 게 빠져서 좀 부자연스럽고 
  - 2막 피날레 
  여기도 뭐가 문제인지 모르겠는데ㅠㅠ양파파랑 경아데아가 나위천 부를 때 깡윈이 너무 갑자기 나타난 느낌 들었어ㅠㅠ그리고 제대로 들은건지 모르겠는데 깡윈이 ""사랑하는 데아""라고 부른거 같아서 흠칫 
  경아데아 죽기 직전 빛 보고 눈에 빛이 돌고, 깡윈 얼굴 만지면서 쳐다보다 죽는 연기 너무 좋았어 
  - 캔잇비 맆 
  그윈이 데아 안고 바다로 들어가기 전에, 우르수스가 그윈 한번 만지고? 끄덕하면서 보내주는 건 좋은듯. 삼연에서는 너무 불효자 엔딩이라... 
  근데 삼연에서도 그윈이랑 데아가 하늘 위에 떠있을 때 다같이 합창했던..가..? 영화판 볼 땐 합창소리가 너무 큰 느낌이라 감동이 오히려 깨져서 아쉬웠고 
  세종에서는 보라색 천이 덜 펼쳐져서 아쉽다길래 초연 버전 궁금했는데 난...큰..차이..모르..겠..다... 
  일단 삼연에 익숙해서인지 초연 넘버순서들(막은 안 올라-내삶전 맆-무너져 내릴 마음-모세-아무말도)도 어색하고, 통편집 된 것도 어색하고, 노래 속도도 빠르고 대사도 어딘가 편집돼서 사라져서 급전개 느낌 나서 아쉬웠어...웃남 노잼라이팅 당하는거 이해가 잘 안됐는데 영화판만 보면 노잼라이팅 공감할 수 있을거같아..그래도 초연 못사였는데 편집된게 많아서 본사라고 할 순 없지만 맛보기라도 할 수 있어서 좋았다. 특히 오글로만 봤던 표정들을 영화판에서 가까이 찍어줘서 잘 보인건 좋음. 

",1,0.025955236,0.9740448,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54436&s_type=search_subject_memo&s_keyword=웃남&page=1,0
dc,ㅇㅇ,2023.01.09 22:29:33,(끌올) 한뮤어 웃남 불판,"

https://m.dcinside.com/mini/theatergoing/53723?headid=&recommend=&s_type=subject_m&serval=%EC%9B%83%EB%8A%94%EB%82%A8%EC%9E%90
 
#### 한뮤어 시네마스테이지 웃는남자 불판#### 
- 뮤지컬 연극 통합 미니 갤러리
삼연만 본사인데 드디어 보고왔다나만 오열했니 ㅠㅠㅠㅠ초연 뉴깡 경아 풋풋하고 너무 잘하더라신시아나는 진짜 그대로 와...!
m.dcinside.com

",1,0.00055876,0.9994412,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54431&s_type=search_subject_memo&s_keyword=웃남&page=1,1
dc,ㅇㅇ,2023.01.09 20:29:48,동수원 cgv에서 웃남 본 바발있음?,"

다들
 
왜이렇게
 
중간에
 
왔다갔다하는거임
...

",0,0.9992187,0.000781332,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54400&s_type=search_subject_memo&s_keyword=웃남&page=1,0
dc,ㅇㅇ,2023.01.09 18:29:52,Cgv 대구 한뮤어 상영 추가,"

웃는남자 마리앙투아네트 등 몇개 추가오픈 함
찔끔찔끔 올려서 아직 주말건 안풀린거같고
일단 웃남처돌이는 수금 혐생마치고 갈수있어서 만족

",1,0.000542377,0.99945766,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54379&s_type=search_subject_memo&s_keyword=웃남&page=1,1
dc,ㅇㅇ,2023.01.09 17:43:47,베토벤 엠디,"

쿄는 웃남처럼 따로 하려나? 모르겠네...

",0,0.9992093,0.000790662,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=54369&s_type=search_subject_memo&s_keyword=웃남&page=1,1
dc,ㅇㅇ,2023.01.06 23:56:09,CGV 웃는남자 후기(불호있음),"

콤프라치코스 사죄 넘버(?), 자장가 리프라이즈, 내 삶을 살아가 통으로 삭제되고 가든파티도 절반은 날렸더라 난 삼연이 웃남 처음이라
초연 가든파티 말로만 들어봤지 기대하고 갔는데 앤여왕 등장하기전에 갑자기 조시아나 데이빗경 어둠의 세계로 넘어감…웃남 안본사람은 데이빗경 뭔가 싶을듯 진짜 뜬금포로 넘어갔어
깡윈플렌-개인적으로 삼연때보다 초연버전이 더 좋게 들렸음 무엇보다 표정 디테일을 잘 볼 수 있다는게 좋은듯 연기 넘버 다 좋음
신시아나-확실히 초연이라 그런가 되게 근엄진지한 느낌이 더 강하더라 삼연때는 좀 여유있는 까탈스러운 조시아나 그 자체였다면ㅇㅇ
내안괴 끝나고 주변사람 와…이럼 그리고 아무것도 넘버에서 너의 흉측한 모습뒤에는~ 이거 진짜 대박이더라 초연 조시아나는 걍 광기 그 자체…갠적으로 초연 조시아나가 더 좋음
양파파-초연이 난 더 좋았어 삼연땐 궁전 부를때 몇개 불호였던게 있었는데 초연에는 딱 더 추가하거나 꾸미지 않고 깔끔히 부르더라
아 그리고 삼연 보면서 마지막에 그윈플렌 자살하러갈때 우르수스는 안잡고 뭐하는거야 했는데 초연때는 마지막에 그윈플렌 놓아주는 씬이 있더라? 그거 보고 좀 맴찢…
민데아-난 불호였음 뭐랄까 특유의 맑은 목소리 그대로 내는게 아니라 데아가 어린 역할이라 그런가 일부러 목소리를 아이처럼 내는게 듣기 불편했고 넘버중에 추임새? 넣는게 너무 과하게 넣는느낌
특히 눈물은 강물에 피비랑 비너스가 강물로 같이 들어갈때 세상 엄청 무서워하고 말 많아지다 갑자기 말없어지고 넘버 이어가는게 오글거렸 근데 분장은 진짜 예쁘더라 초연 가발은 거의 생머리에 웨이브 살짝준 스타일인데 그후 가발들 진짜 노답이여서…
앤여왕-확실히 초연이랑 삼연 앤여왕은 진짜 다르더라 초연은 좀 우스꽝스러운 느낌이라면 삼연은 좀 품위가 추가된 느낌 확실히 촬영한거라 그런지 일프로 음끄는거 녹음튼게 바로 티남 다 부르고 가만히 멀뚱히 서있다 그대로 쓰러질때 사람들 웃음ㅋㅋㅋ갠적으로 비너스때 발성듣고 앤여왕 괜찮을까…했는데 앤여왕때는 확 바꿔서 다행히 들을만했음
데이빗경-초연 데이빗경이 난 더 좋았음 되게 굵고 목소리 자체가 매력있다 해야되나 시원하고 안정감있고 진지하면서 딱 데이빗이랑 맞는느낌
페드로-역시 초연부터 삼연까지 하는 이유가 있다ㅇㅇ
초연 보고 느낀건 넘버 순서도 조금씩 바뀐거 있고 넘버도 음 바뀐게 있더라 ex)궁전 춤추는법 가르쳐줘 여기전까지는 키 낮음
그리고 캐릭터 변화 느낀건 데아였 초연은 정말 연약한 데아라면 삼연 데아는 좀 더 그윈플렌에게 용기를 주는 속은 강한 느낌
웃남은 확실히 무대랑 넘버 들으러 가는 느낌인듯 자첫할때도
사실 몇번 졸았어…오늘 영화 보면서도 좀 졸뻔함(관크 수준으로는 안했어 절대)스토리는 좀 아쉽긴해…

",0,0.9277417,0.07225831,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=53708&s_type=search_subject_memo&s_keyword=웃남&page=1,0
dc,ㅇㅇ,2023.01.06 23:51:28,ㅃㅃ 한뮤어 웃는남자 끝,"

지금 웃남보고 나옴 초연 못사인데 보니까 세트랑 디테일이 조금씩 바뀌었구나 지금이 더 자연스러운 듯
앙상블들도 다 아는 얼굴들이어서 반갑고 초연 감독판 가든파티 조시아나 나오고 여왕이 나와서 데이빗경 소개 장면 잘리고 그다음 장면부터 나와서 처음 본 사람은 뭐지 할꺼 같기도 하고 조시아나 넘 버중 내 삶을 살아가 최고인데 그것도 잘려서 아쉽다 극장에서 본 것도 나름 좋았지만 직접 못 본 게 너무 후회됨  그리고 넘버 끝날 때마다 속으로 박수침
내리기 전에 한 번 더 봐야겠음
엽서 받았는데 이쁘다
아 그리고 넘버 끝날 때마다 박수 소리 없어서 무관 중 촬영인 줄 알았는데 커튼콜 때 보니까 관객들 있네
박수소리 줄인 걸까???

",1,0.000576741,0.99942327,https://gall.dcinside.com/mini/board/view/?id=theatergoing&no=53706&s_type=search_subject_memo&s_keyword=웃남&page=1,1
